App_Running,Screen_On_Time_min,CPU_Usage_%,Battery_Temperature_C,Battery_Drop_Per_Hour,Network_Type,Brightness_Level_%,RAM_Usage_MB,Charging_State,Usage_Mode
Facebook,70.77924426018649,55.550654917564856,34.30100540494625,6.02022829972206,5G,57,2941.852469083751,Charging,Gaming
PUBG,90.04428206396435,10.506832422644415,35.607895002696914,13.372379007889046,WiFi,10,1930.5814582846456,Not Charging,Social Media
Maps,75.197223681964,38.529769421586494,43.31277540557011,3.5145500952971975,5G,37,2169.8288988055047,Charging,Social Media
WhatsApp,114.76249453101866,26.89845359601823,33.79519708572041,6.728474786979605,WiFi,33,2329.369144961256,Charging,Browsing
Facebook,52.21467469663912,36.86234886456955,41.089635709872574,19.134837022052047,5G,25,2175.002939111997,Charging,Video Streaming
Camera,78.70889612087288,45.64676435875532,37.39998497167519,9.292170616945574,5G,58,2382.6140577908745,Charging,Social Media
Instagram,85.1421593740171,38.31212761832137,42.092012730182915,15.551492893105173,4G,60,1045.270935540352,Charging,Navigation
Facebook,70.5386487038385,19.846663968322176,33.3078210759259,11.859158649238307,5G,98,2116.3673522300464,Not Charging,Social Media
Maps,8.217933426063468,27.48130792649782,38.48068120984784,8.600318728526915,4G,25,2151.746860982305,Charging,Video Streaming
WhatsApp,75.97737729877018,56.39889470486699,34.703659886998295,3.6789536364973365,4G,59,1008.1114798139422,Charging,Social Media
PUBG,102.50442467281167,39.933993408861475,20.05303489418393,13.166510532821887,4G,62,2585.4822256679595,Charging,Gaming
Maps,99.45272965315044,47.60478691377273,29.550782074897622,19.273027695344318,5G,68,1653.1879591181041,Charging,Video Streaming
Maps,88.869462054255,38.754429652745635,37.911884729763756,8.742362601171227,4G,90,2765.3975341875894,Not Charging,Music
Instagram,52.55344104126941,47.1367410236288,37.58132458139999,12.3429917711443,WiFi,50,2251.5709963768372,Not Charging,Gaming
Chrome,89.8827365614621,29.057808650940174,28.525113056825383,4.401055983240039,WiFi,88,1855.430873739835,Not Charging,Social Media
WhatsApp,65.66405446144405,23.487325298488464,36.10183774419002,8.639124043749765,5G,26,2802.8152351177714,Charging,Music
TikTok,88.83707264871667,46.4554657377207,37.516301132627525,13.704408297307804,4G,64,3197.120232165582,Not Charging,Browsing
Maps,83.03762528504289,51.91061015668334,34.82667215131197,15.718579101999062,WiFi,15,2223.1040405678177,Not Charging,Gaming
Chrome,55.590618217915704,21.285780338050373,38.64409318829818,14.779743749790935,5G,51,3024.9316546863397,Not Charging,Browsing
TikTok,57.68860401607741,26.36082782864408,37.96277653964384,1.8422434462638169,5G,35,2094.3240379377503,Not Charging,Navigation
WhatsApp,88.87556136053792,32.5516035765364,34.82428210297646,9.715325804326284,5G,81,2777.393114519251,Charging,Gaming
YouTube,74.47217261778745,59.29736907473973,32.44587590567941,7.163594448526883,5G,22,1979.5136786790083,Charging,Music
Camera,58.992964233571776,43.447031827523894,40.212707960462545,10.454858620914782,5G,26,3295.5350674977117,Charging,Browsing
Chrome,56.92924525682918,15.138697552011699,37.31581048939411,11.444042822563274,4G,60,2846.3843737750167,Charging,Navigation
Spotify,72.4042288003446,33.60525812615748,28.09283673734851,17.331759455976187,4G,21,2482.2068449952994,Not Charging,Browsing
YouTube,119.20261986795525,31.311818663743487,36.10448828040694,13.47618518346763,4G,42,679.6772798771167,Charging,Social Media
Camera,66.84804919470103,17.40095665994105,29.24487645271133,19.089159864435423,4G,29,2469.2899848403154,Charging,Video Streaming
Instagram,79.64951154356028,33.42812124657908,30.177160337854126,8.5024484278641,5G,36,1459.0402206242359,Charging,Browsing
Facebook,82.54110719223775,30.649438405904416,31.740449823071813,4.9146172103908885,5G,19,2411.9518045286077,Not Charging,Social Media
PUBG,51.72434021270143,29.575512145742614,35.22436617829851,19.276213204102323,WiFi,17,2966.4995131833184,Not Charging,Video Streaming
Spotify,35.92918790393262,28.889279489272834,36.87242788795643,14.167276189503157,WiFi,62,2613.398180208368,Not Charging,Video Streaming
